millinery n．女帽及其装饰物
conciliation n．安慰，安抚
demure adj．严肃的，矜持的
effigy n．假人，模拟像
liturgical adj．礼拜式的
parquet n．镶木地板．
miscellaneous adj．多种的，混杂的
ardent adj．热心的，热烈的
mould,mold n．模子，气质v．塑造
collision n.碰撞，冲突
palliation n．减轻，缓和
enchant v．使迷醉,施魔法于
implant v．注入，灌输
enrapture v．使狂喜,使高兴
default n．拖债，未履行的责任
measles n．麻疹
fabric n．纺织品，结构
cognomen n.姓
inimical adj．为敌的，不友善的
pragmatic adj．实际的,实用主义的
paradigmatic adj．作为示范的，典范的
commodious adj.宽敞的
nomination n．提名，指派
altercation n．争吵，争论
jargon n．行话
inculcate v．灌输，谆谆教诲
repletion n．充满，吃饱
prance v.(马)腾跃，(人)神气活现地走(
lascivious adj．淫乱的，好色的
bonny adj.健美的，漂亮的
descendant n．后代，后裔
perky adj．活泼的，大胆的
lukewarm adj．微温的，不热心的
autopsy n.验尸，解剖
waggish adj．诙谐的，滑稽的
explore v.探险,探索
maneuverable adj．可移动的，可操纵的
milieu n．（个人所处的）社会环境
repugnance n．嫌恶，反感
tardy adj．缓慢的，迟缓的
chipmunk n．花粟鼠(和中象松鼠的美洲小动物)
imposing adj．壮丽的，雄伟的
dandy n．花花公子，好打扮的人
guillotine n断头台
piercing adj．刺骨的，敏锐的
hypochondriac n．忧郁症患者的
compact adj.结实的，简洁的
coherent adj.连贯的，一致的
grudging adj．勉强的，吝啬的
gust n．阵风，一阵（情绪）
propitious adj．吉利的,顺利的
redress v．n．改正，修正
utensil n．工具，（厨房）用具
scour v．擦洗，擦亮
subsume 　v．包含，包容
addendum n.补遗，附录(复：addenda)
cramped adj．狭窄的，挤在一起的
conflate v．合并
munificent adj．慷慨的，大方的
indispensable adj．不可缺乏的
awl n.[钻皮革的]尖钻
aluminium n．铝
repulsive adj．令人厌恶的，驱逐的
precept n．箴言,格言
compile v.汇集，编辑
diarrhoea n.腹泻
expurgate v．净化，删去
sprint n．全速奔跑
towering adj．耸立的，杰出的
stash v．藏匿，隐藏
vibrancy n．生气勃勃，活泼
satanic adj．穷凶极恶的
grandstand n.正面看台，哗众取宠的表演
immaculate adj．洁净的，无瑕的
ultramundane adj．超俗的，世界之外的
forlorn adj．孤独的，凄凉的
secretarial adj．秘书的、文书的
nab v.逮捕，攫取
castigate v．惩治，严责
souvenir n．纪念物，纪念品
junk n.废物，废旧货
probe v．探索,探测
moor n．旷野地，荒野v．使（船）停泊
prognosticate v．预测,预示
adroit adj．熟练的，灵巧的
materialize v．赋予形体，实现
woozy adj.糊里糊涂的，头昏的
taper v.逐渐尖细
oracular adj．神谕的，意义模糊的
interim n．中间时期、过渡时期adj．暂时的
ingrate n．忘恩负义的人
diurnal adj．白昼的，白天的
clumsy adj.笨拙的，拙劣的
petrifaction n．石化，目瞪口呆
flummox v.使混乱，背诵出错
regent n．摄政者（代国王统治者）
salvage n．v．（从灾难中）抢救，海上救助
prurience n．好色,淫乱
inviolable adj．不可侵犯的，不可亵渎的．
omnipotent adj．全能的、万能的
boor n．举止粗野的人，乡下人
barricade v.n.设栅阻挡,栅栏
solicitous adj．热切的，挂念的
berserk adj．狂怒的，疯狂的
solecism n．文法错误，举止失礼
garland n（作为胜利标志的）花环，奖品
elegy n.哀歌、挽歌
exhaustive adj.彻底的,无遗漏的
precinct n.范围，区域
iguana n.美洲大蜥蜴
glean v．拾落穗，收集（材料等）
lido n．浴场，公共游泳池
implore v．哀求，恳求
tributary adj．n．支流（的），进贡（的）
abdomen n．腹，下腹（胸部到腿部的部份）
aperture n．孔隙，窄的缺口
intermingle v．混合,搀杂
scab n．创口上所结的疤，痂
supposition n．猜想，推测
impeccable adj．无瑕疵的
propitiate v．讨好,抚慰
defunct adj．死亡的，过时的
raffish adj.轻浮的，放荡的
retrospective adj．追想的，回顾的
gust n．阵风，一阵（情绪）
hectic adj．兴奋的，繁忙的
grisly adj．恐怖的，可怕的
spurn v．拒绝，摈弃
engross v．全神贯注于
jesuitical adj.阴险的，虚伪的
asinine adj．愚笨的
exceedingly adv.过份地
elitism n.精英论,优秀人士统治
vitriolic adj．刻薄的，强烈的
jumbo adj.巨大的，特大的(
endemic adj．地方性的
negligible adj．可忽略的，无关紧要的
pyromania n．纵火狂
hobgoblin n.妖魔，恶鬼
ellipsis n省略
insanity n．疯狂，愚昧
mildew n．霉（因温湿而生）
threadbare adj．磨破的，陈腐的
finable adj．应罚款的
funk n.恐惧，恐怖
impassive adj．无动于衷的，冷漠的
wan adj．虚弱的，病态的
virile adj．有男子气的，雄健的
erupt v．爆发,喷出火焰
penalize v．置（某人）于不利地位，处罚
overrule v．（高位的人）不准，否决（低位的人或事）
voluptuous adj．撩人的，沉溺酒色的
frigidity n．寒冷，冷淡，性冷淡
bounteous adj．慷慨的，丰富的
choleric a．易怒的，暴躁的
abrogate v．废止，废除
tangential adj．切线的，离题的
irreverent adj．不尊敬的
snare n．罗网，陷井
rustler n．偷牛（马）贼
clamp n.钳子，v.钳紧
canopy n．蚊帐，华盖。
vintner n．酒商
bellicose adj．好战的，好斗的
presupposition n．预先假定,臆测
flair n．天赋，本领，才华
desolate adj．荒凉的，被遗弃的
miniature n．小画像，缩影
portable adj．轻便的,手提式的
nitpick v．挑剔，吹毛求疵
virus n．病毒
superimpose v．加在上面，附加
mutation n．突变，变异
installation n．就职，安装
motivate v．促使，激发
hepatitis n．肝炎
recantation n．改变宗教信仰
homiletics n．讲道术，说教术
obsolescent adj．即将过时的
withdrawn adj．隐退的，离群的
hazardous adj．有危险的
iniquitous adj．邪恶的，不公正的
brink n．（峭壁的）边沿，边缘
hanger n．衣架，挂衣钩
lyric adj．抒情的，n．抒情诗
cumbersome adj．笨重的
dribble v．（液体）往下滴，淌
sultry adj．闷热的，（人）风骚的
pauper n．贫民，乞丐
hubris n．过份自傲，目中无人
clandestine adj.秘密的，暗中从事的
indented adj．锯齿状的
prurient adj．好色的,淫乱的
exert v.运用(力量等),施加
superficial adj．表面的，肤浅的
valediction n．告别演说，告别词
entrust v．委托,付托
implicate v．牵连（于罪行中）
jamboree n．快乐，喧闹的集会
viscosity n．粘度，粘性
concussion n．脑震荡，震动
temper v．锻炼，缓和n．脾气
presupposition n．预先假定,臆测
seamy adj．黑暗的、恶劣的
leucocyte n．白血病
respondent n．被告
inexpedient adj．不适当的，不明智的
effusive adj．流出的，感情奔放的
mangle v．撕成碎片，压碎
pacifier n．调停者，和解人
disembodied adj．无实体的、空洞的
bronchitis n．支气管炎
whet v．磨快，刺激
attrition n.消磨,磨损
suborn v．收买，贿赂
germane adj．有密切关系的，贴切的
plangent adj．如泣如诉的,悲哀的
huffy adj．愤怒的，暴躁的
conversion n．转变，皈依
pecuniary adj．金钱上的，金钱的（
truncheon n．警棍，警棒
sustained adj．持久的，经久不衰的
die n．金属模子，印模
embezzlement n.贪污，侵吞
parenthesis n．插入语，括弧
erasure n．擦掉,擦痕
peppery adj．胡椒味的，暴躁的
nonviolent adj．不使用暴力的，非暴力的
engender v．产生，引起
fabric n．纺织品，结构
statuary n．雕像，雕塑艺术
tonality n．音质，音调
institute v．制定，创立（社团，规章）n．学院，协会
denigrate v．污蔑，诽谤
asparagus n．芦笋（可作蔬菜）
exclude v.排斥，排除
interstice n．细裂缝,空隙
aroma n．芳香，香气
locale n．事件发生的现场、地点
shiftless adj．没有决断力的，偷懒的
embankment n.堤岸,路基
paralyze v．使瘫痪，使无效
hepatitis n．肝炎
incinerate v．焚化，毁弃
porcelain n．瓷,瓷器
resignation n．听从，辞职
beneficial adj．有益的，有用的
safari n．狩猎旅行，长途考察
byre n.牛栏，牛棚
heterodoxy n．异端邪说
cohesive adj.凝聚的，凝结的
fallow n．adj.休闲地,休闲的
synthetic adj．综合的，人造的
drone v．嗡嗡地响，n．单调的低音
acne n.粉刺
identify v．认明，认出
vassal n．陪臣，诸侯
indisposed adj．不愿意的，身体不适的
molest v．骚扰，干扰
propel v．推进
daunt v．使胆怯，使畏缩
abuse v．n．辱骂，滥用
residence n．住宅，居留
timbre n．（音乐）音色，音质
arrears n.债，欠债
sneak v．鬼鬼祟祟而行，偷窃
footle v．胡闹，浪费（时间）
rankle v．（怨恨，失望等）难以释怀
terminus n．（火车，汽车）终点站
equivalence n．相等，等值
mite n．极小量，小虫
unhinge v.使发狂，使错乱
discordant adj．不一致的，不调和的
