salvation n．得救，拯救
mantle n．披风，斗篷，v．覆盖
prescript n．命令,规定
fiendish adj．极凶恶的
swank v．夸耀，炫耀
terrain n．地势，地形
gargantuan adj．巨大的，庞大的
redoubtable adj．可敬畏的
cavil v．挑毛病，吹毛求疵
brute n．野兽，兽性
dictate v．口述、命令
clench v.握紧，咬紧(牙关)
dissemble v．隐藏、掩饰（感受，意图）
insuperable adj．难以克服的
exchequer n.国库，财源
gnome n．地下宝藏的守护神，地精，格言
tycoon n．有钱有势的企业家，大亨
partiality n．偏袒，偏心
executor n.遗嘱执行人
appetizing adj　开胃的
unflappable adj.镇定的，从容不迫的
defile v．弄污，弄脏n．（山间）小道
plaintive adj．可怜的,伤心的
tadpole n，蝌蚪
agreement n．一致，协议
extol v．赞美
memento n．纪念品
roan n.杂色马
jeopardy n．危险
haggle v．争论，讨价还价
appropriation n．拨款，挪用公款
seam n．缝、接缝
malice n．恶意
vendetta n．世仇，宿怨
perpetrate v．犯罪，作坏事
cynicism n．愤世嫉俗，犬儒主义
puppy n.小狗，幼犬
jeer v．嘲笑
impostor n．冒充者，骗子
eschew v．避开,戒绝
pyromania n．纵火狂
effrontery n．厚颜无耻
sneak v．鬼鬼祟祟而行，偷窃
perpendicular adj．垂直的
distinguished adj．著名的，卓越的
hermetic adj．密封的，炼金术的
resigned adj．逆来顺受的，顺从的
timber n．木材，（人）品质，素质
unaffected adj．自然的，不矫揉造作的
devastating adj．破坏性的
paroxysm n．突发，阵发
florid adj．华丽的，（脸）红润的
affable adj．易于交谈的，和蔼的
spruce n．云杉，adj．整洁的，潇洒的
exterminate v．消灭,灭绝
speleology n．洞穴学
apposite adj．适当的，恰切的．
abattoir n.屠宰场，角斗场
dissident n．唱反调者
invidious adj．惹人反感的，招人嫉妒的
comatose adj.昏迷的
harass v．烦扰
wallow v．n．（猪等）在泥水中打滚，沉溺于
flay v．剥皮，诈取，严厉指责
magistracy n．地方保安官的职位
anonymity n．无名、匿名
neutral adj．中间的，中立的
visage n．脸，面貌
devastate v．摧毁，破坏
indiscreet adj．不谨慎的，无礼的
mimicry n．模仿，（动物等）拟态伪装
interposition n．插入,干涉
mortuary n．停尸间，太平间
beam n.(房屋等)大梁,光线
venom n．毒液，恶毒，痛恨
tribunal n．法庭，裁判所
preserve v．保护,保藏
fief n.封地，活动范围
winnow v．把（谷物）的杂质吹掉，扬去
sulky adj．呕气的，生气的
exaggeration n.夸张
galley n．船上的厨房
fag v．苦干n.苦工
sensation n．知觉，轰动（的事）
impart v．传授，告知
ravishment n．狂喜，陶醉
scurrilous adj．下流的、恶言毁谤的
stab n．v．刺伤，戳
sliver n．长条，细片，v．裂成细片
lattice n．（做篱笆或爬藤架等的）格子架
seamy adj．黑暗的、恶劣的
torpor n．有气无力，死气沉沉
statute n．法规，法令
herbivorous adj．食草的
pauper n．贫民，乞丐
identify v．认明，认出
personage n．名人，（戏剧）角色
spinster n．未婚女人，老处女
excesses n.过份荒淫的行为
unprovoked adj．（生气等）无缘无故的
animus n．憎恨
falcon n．猎鹰
ode n．长诗，颂歌
shallop n．轻舟，小舟
dispatch v．派遣，一下子做完、吃完n．迅速
hormone n．荷尔蒙，激素
nuptials n．婚礼
probation n．试用(期),试验
nab v.逮捕，攫取
infinitesimal adj．极微小的
entrepreneur n．企业家，创业人
interpolate v．加入(额外的事),窜改
ballad n.歌谣,小曲
extinct adj．绝种的,不存在的
discomposure n．失态，慌张
collation n.校勘，整理
seafaring adj．航海的，跟航海有关的
effulgent adj．光辉的，灿烂的
moult,molt v．脱毛，换羽毛
monastery n．男修道院，僧院
vicarious adj．间接的，代理的
growl v．（动物）咆哮，吼叫
accumulate v．积聚，积累
bumble v．说话含糊
eucalyptus n.桉树
vacate v．空出
wiggle v．扭动，蠕动
intern v．拘禁,软禁n．实习生
anecdote n．短故事，轶事
foothold n．立足点，根据地
resuscitate v．使复活，使苏醒
palaver n．v．空谈，奉承
sloop n．小帆船
salient adj．显著的，突出的
alias n．化名，别名
repartee n．机灵的回答
embroidery n．刺绣(品),润色
privation n．丧失,贫困
baste v.倒脂油于(烤肉上,以防烤干)
serpentine adj．似蛇般绕曲的，蜿蜒的
disinclined adj．不愿的
nuzzle v.用鼻擦，触，紧挨
